starttime,endtime,duration_diff_secs,samples,lat,lng,hour,dist_travelled_from_prev_LatLong_km
2022-05-07 02:00:44,2022-05-07 02:00:49,5.0,3,1.339736,103.883906,10,
2022-05-07 02:01:37,2022-05-07 02:01:37,0.0,1,1.339736,103.883906,10,0.0
2022-05-07 02:14:42,2022-05-07 02:14:57,15.0,5,1.346736,103.877111,10,1.09
2022-05-07 02:17:12,2022-05-07 02:17:12,0.0,6,1.336738,103.885415,10,1.45
2022-05-07 02:27:05,2022-05-07 02:45:07,1082.0,31,1.339736,103.883906,10,0.37
2022-05-07 02:29:02,2022-05-07 02:40:50,708.0,7,1.339736,103.883906,10,0.0
2022-05-07 02:43:14,2022-05-07 02:43:25,11.0,7,1.336738,103.885415,10,0.37
2022-05-07 02:43:39,2022-05-07 02:43:40,1.0,6,1.339736,103.883906,10,0.37
2022-05-07 03:00:00,2022-05-07 03:00:00,0.0,1,1.336738,103.885415,11,0.37
2022-05-07 03:00:01,2022-05-07 03:02:23,142.0,15,1.339736,103.883906,11,0.37
2022-05-07 03:00:10,2022-05-07 03:03:24,194.0,5,1.339736,103.883906,11,0.0
2022-05-07 03:03:11,2022-05-07 03:04:24,73.0,13,1.337733,103.88691,11,0.4
2022-05-07 03:03:28,2022-05-07 03:03:38,10.0,7,1.339736,103.883906,11,0.4
2022-05-07 03:03:34,2022-05-07 03:03:35,1.0,7,1.337733,103.88691,11,0.4
2022-05-07 03:03:46,2022-05-07 03:04:33,47.0,19,1.337733,103.88691,11,0.0
2022-05-07 03:03:48,2022-05-07 03:03:50,2.0,2,1.339736,103.883906,11,0.4
2022-05-07 03:03:58,2022-05-07 03:04:58,60.0,27,1.337733,103.88691,11,0.4
2022-05-07 03:05:09,2022-05-07 03:05:43,34.0,7,1.342031,103.884621,11,0.54
2022-05-07 03:05:22,2022-05-07 03:05:25,3.0,3,1.342031,103.884621,11,0.0
2022-05-07 03:05:27,2022-05-07 03:05:34,7.0,3,1.342031,103.884621,11,0.0
2022-05-07 03:06:07,2022-05-07 03:06:07,0.0,1,1.342031,103.884621,11,0.0
2022-05-07 03:06:07,2022-05-07 03:15:12,545.0,55,1.342031,103.884621,11,0.0
2022-05-07 03:06:17,2022-05-07 03:06:23,6.0,12,1.342031,103.884621,11,0.0
2022-05-07 03:06:24,2022-05-07 03:15:17,533.0,242,1.342031,103.884621,11,0.0
2022-05-07 03:06:24,2022-05-07 03:06:24,0.0,1,1.342031,103.884621,11,0.0
2022-05-07 03:13:19,2022-05-07 03:13:19,0.0,2,1.342031,103.884621,11,0.0
2022-05-07 03:13:26,2022-05-07 03:15:27,121.0,8,1.342031,103.884621,11,0.0
2022-05-07 03:15:38,2022-05-07 03:16:38,60.0,5,1.346736,103.877111,11,0.99
2022-05-07 03:15:40,2022-05-07 03:15:40,0.0,1,1.342031,103.884621,11,0.99
2022-05-07 03:15:41,2022-05-07 03:15:51,10.0,7,1.346736,103.877111,11,0.99
2022-05-07 03:15:46,2022-05-07 03:17:03,77.0,8,1.349506,103.877402,11,0.31
2022-05-07 03:16:04,2022-05-07 03:16:04,0.0,1,1.346736,103.877111,11,0.31
2022-05-07 03:16:13,2022-05-07 03:16:14,1.0,6,1.349506,103.877402,11,0.31
2022-05-07 03:17:26,2022-05-07 03:19:26,120.0,5,1.350807,103.877127,11,0.15
2022-05-07 03:17:28,2022-05-07 03:18:43,75.0,8,1.353902,103.87498,11,0.42
2022-05-07 03:17:36,2022-05-07 03:17:37,1.0,3,1.350807,103.877127,11,0.42
2022-05-07 03:17:40,2022-05-07 03:17:54,14.0,3,1.353902,103.87498,11,0.42
2022-05-07 03:17:52,2022-05-07 03:18:02,10.0,3,1.350807,103.877127,11,0.42
2022-05-07 03:18:04,2022-05-07 03:20:04,120.0,5,1.353902,103.87498,11,0.42
2022-05-07 03:18:04,2022-05-07 03:18:04,0.0,1,1.350807,103.877127,11,0.42
2022-05-07 03:18:06,2022-05-07 03:20:35,149.0,10,1.350807,103.877127,11,0.0
2022-05-07 03:18:15,2022-05-07 03:18:15,0.0,1,1.353902,103.87498,11,0.42
2022-05-07 03:18:45,2022-05-07 03:18:57,12.0,3,1.350807,103.877127,11,0.42
2022-05-07 03:18:53,2022-05-07 03:21:59,186.0,18,1.349483,103.873609,11,0.42
2022-05-07 03:19:07,2022-05-07 03:20:54,107.0,16,1.349483,103.873609,11,0.0
2022-05-07 03:20:09,2022-05-07 03:20:09,0.0,2,1.348984,103.874708,11,0.13
2022-05-07 03:20:18,2022-05-07 03:20:28,10.0,3,1.349483,103.873609,11,0.13
2022-05-07 03:20:54,2022-05-07 03:21:04,10.0,11,1.349698,103.873537,11,0.03
2022-05-07 03:21:04,2022-05-07 03:21:07,3.0,3,1.349698,103.873537,11,0.0
2022-05-07 03:21:07,2022-05-07 03:22:24,77.0,21,1.349698,103.873537,11,0.0
2022-05-07 03:21:10,2022-05-07 03:24:32,202.0,16,1.349698,103.873537,11,0.0
2022-05-07 03:24:32,2022-05-07 03:24:44,12.0,6,1.349698,103.873537,11,0.0
2022-05-07 03:24:42,2022-05-07 03:24:47,5.0,3,1.349698,103.873537,11,0.0
2022-05-07 03:24:46,2022-05-07 03:24:53,7.0,5,1.349698,103.873537,11,0.0
2022-05-07 03:24:57,2022-05-07 03:25:20,23.0,6,1.349698,103.873537,11,0.0
2022-05-07 03:25:20,2022-05-07 03:26:30,70.0,10,1.339352,103.870962,11,1.19
2022-05-07 03:25:30,2022-05-07 03:27:20,110.0,8,1.339352,103.870962,11,0.0
2022-05-07 03:29:20,2022-05-07 03:31:46,146.0,118,1.319336,103.859856,11,2.55
2022-05-07 03:29:21,2022-05-07 03:31:58,157.0,10,1.319336,103.859856,11,0.0
2022-05-07 03:31:39,2022-05-07 03:35:33,234.0,13,1.312387,103.854241,11,0.99
2022-05-07 03:31:57,2022-05-07 03:34:30,153.0,11,1.312387,103.854241,11,0.0
2022-05-07 03:33:35,2022-05-07 03:34:44,69.0,8,1.306729,103.849651,11,0.81
2022-05-07 03:34:40,2022-05-07 03:35:17,37.0,4,1.306729,103.849651,11,0.0
2022-05-07 03:35:17,2022-05-07 03:37:15,118.0,15,1.306729,103.849651,11,0.0
2022-05-07 03:35:27,2022-05-07 03:37:10,103.0,37,1.306729,103.849651,11,0.0
